kata,df,idf
toko,22,1.8823692756704753
buku,20,1.9237619608287002
gramedia,2,2.9237619608287004
bintaro,2,2.9237619608287004
na,16,2.0206719738367567
ve,16,2.0206719738367567
bayes,39,1.6337273494661824
klasifikasi,61,1.4394621214819143
asuransi,4,2.622731965164719
k-mean,4,2.622731965164719
tingkat,102,1.216191784730764
tepat,6,2.446640706109038
kelulus,22,1.8823692756704753
program,58,1.4613639629297441
market,5,2.5258219521566625
basket,2,2.9237619608287004
analysis,20,1.9237619608287002
produk,19,1.9460383555398524
oase,2,2.9237619608287004
anak,16,2.0206719738367567
rapor,1,3.2247919564926817
nearest,2,2.9237619608287004
neighbor,13,2.1108486041858447
jumlah,8,2.321701969500738
daftar,5,2.5258219521566625
terima,23,1.8630641204750886
siswa,48,1.5435507191170943
baru,24,1.8445807147810755
lalu,22,1.8823692756704753
bisnis,18,1.9695194513893755
intelegent,1,3.2247919564926817
olap,7,2.3796939164784248
online,15,2.0487006974370003
analyctical,1,3.2247919564926817
process,11,2.1833992713344563
kelompok,10,2.2247919564926817
cyber,1,3.2247919564926817
crime,1,3.2247919564926817
electronic,3,2.747670701773019
commerce,3,2.747670701773019
crisp-dm,1,3.2247919564926817
tempuh,1,3.2247919564926817
mata,34,1.6933130394504263
universitas,89,1.2754019498477687
xyz,11,2.1833992713344563
profile,9,2.2705494470533565
ketua,6,2.446640706109038
stmik,25,1.826851947820644
backpropagation,18,1.9695194513893755
amik-stikom,1,3.2247919564926817
tunas,1,3.2247919564926817
bangsa,3,2.747670701773019
pematangsiantar,2,2.9237619608287004
tahu,9,2.2705494470533565
skripsi,14,2.0786639208144435
multimedia,58,1.4613639629297441
didik,34,1.6933130394504263
komputer,46,1.5620341248111074
likuiditas,1,3.2247919564926817
subsektor,1,3.2247919564926817
telekomunikasi,3,2.747670701773019
jakarta,12,2.1456107104450566
islamic,1,3.2247919564926817
k-nearest,13,2.1108486041858447
k-nn,2,2.9237619608287004
waktu,8,2.321701969500738
waspas,1,3.2247919564926817
naive,21,1.9025726617587622
ikut,1,3.2247919564926817
english,3,2.747670701773019
proficiency,1,3.2247919564926817
test,1,3.2247919564926817
gun,2,2.9237619608287004
clustring,2,2.9237619608287004
evaluasi,22,1.8823692756704753
kerja,40,1.6227319651647192
classifier,8,2.321701969500738
potensi,9,2.2705494470533565
utama,2,2.9237619608287004
interpolasi,4,2.622731965164719
metlife,1,3.2247919564926817
c4,19,1.9460383555398524
5,26,1.8098186085218635
knn,4,2.622731965164719
rekam,3,2.747670701773019
jejak,2,2.9237619608287004
dosen,13,2.1108486041858447
stt,2,2.9237619608287004
harap,6,2.446640706109038
medan,8,2.321701969500738
kalsifikasi,2,2.9237619608287004
decision,15,2.0487006974370003
tree,12,2.1456107104450566
regresi,6,2.446640706109038
fp-tree,1,3.2247919564926817
obat,12,2.1456107104450566
fakultas,28,1.7776339251504623
ilmu,9,2.2705494470533565
hirarki,2,2.9237619608287004
divisive,2,2.9237619608287004
media,72,1.367459460061413
world,2,2.9237619608287004
pekanbaru,6,2.446640706109038
classification-decission,1,3.2247919564926817
c,25,1.826851947820644
45,3,2.747670701773019
sakit,58,1.4613639629297441
diabetes,5,2.5258219521566625
rapid,4,2.622731965164719
miner,1,3.2247919564926817
resiko,5,2.5258219521566625
bpr,1,3.2247919564926817
bukittandang,1,3.2247919564926817
mandiri,3,2.747670701773019
padang,5,2.5258219521566625
informasi,258,0.8131722505294513
real-time,1,3.2247919564926817
log,5,2.5258219521566625
honeypot,5,2.5258219521566625
serang,13,2.1108486041858447
distributed,2,2.9237619608287004
denial,2,2.9237619608287004
service,39,1.6337273494661824
sekolahmenengah,1,3.2247919564926817
juru,3,2.747670701773019
eoq,2,2.9237619608287004
rop,2,2.9237619608287004
pd,1,3.2247919564926817
lulus,4,2.622731965164719
telkom,4,2.622731965164719
kunjung,2,2.9237619608287004
wisatawan,1,3.2247919564926817
wisata,9,2.2705494470533565
unggul,3,2.747670701773019
prov,1,3.2247919564926817
dki,4,2.622731965164719
sedia,5,2.5258219521566625
sparepart,1,3.2247919564926817
bengkel,3,2.747670701773019
sinar,1,3.2247919564926817
unjung,3,2.747670701773019
kabupaten,39,1.6337273494661824
karo,2,2.9237619608287004
calon,9,2.2705494470533565
muhammadiyah,11,2.1833992713344563
yogyakarta,19,1.9460383555398524
hasil,30,1.747670701773019
business,3,2.747670701773019
intelegence,1,3.2247919564926817
potensial,2,2.9237619608287004
drop,1,3.2247919564926817
out,1,3.2247919564926817
bibit,1,3.2247919564926817
sawit,2,2.9237619608287004
baik,24,1.8445807147810755
technic,1,3.2247919564926817
single,12,2.1456107104450566
linkage,1,3.2247919564926817
hias,2,2.9237619608287004
emas,1,3.2247919564926817
prestasi,7,2.3796939164784248
matematika,8,2.321701969500738
linear,8,2.321701969500738
sma,18,1.9695194513893755
kesatrian,1,3.2247919564926817
customer,54,1.4923981966697129
behaviour,1,3.2247919564926817
artpedia,1,3.2247919564926817
lama,4,2.622731965164719
uin,12,2.1456107104450566
sunan,4,2.622731965164719
kalijaga,2,2.9237619608287004
pakai,6,2.446640706109038
langgan,15,2.0487006974370003
pdam,5,2.5258219521566625
tirta,5,2.5258219521566625
raharja,3,2.747670701773019
analis,4,2.622731965164719
puas,13,2.1108486041858447
politeknik,9,2.2705494470533565
lp3i,1,3.2247919564926817
mungkin,1,3.2247919564926817
kubikasi,1,3.2247919564926817
gudang,3,2.747670701773019
bm,2,2.9237619608287004
database,11,2.1833992713344563
pradnya,1,3.2247919564926817
paramita,1,3.2247919564926817
delphi,1,3.2247919564926817
bencana,6,2.446640706109038
gempa,1,3.2247919564926817
bumi,4,2.622731965164719
pulau,3,2.747670701773019
malu,1,3.2247919564926817
bmkg,1,3.2247919564926817
wit,1,3.2247919564926817
duduk,2,2.9237619608287004
miskin,2,2.9237619608287004
miwada,1,3.2247919564926817
industrial,1,3.2247919564926817
untung,1,3.2247919564926817
software,10,2.2247919564926817
rapidminer,1,3.2247919564926817
saran,1,3.2247919564926817
kueri,1,3.2247919564926817
barang,11,2.1833992713344563
situs,3,2.747670701773019
inkuiri,1,3.2247919564926817
com,3,2.747670701773019
supermarket,2,2.9237619608287004
sejahtera,3,2.747670701773019
lhokseumawe,3,2.747670701773019
pustaka,8,2.321701969500738
dwi,1,3.2247919564926817
tunggal,1,3.2247919564926817
tanjung,2,2.9237619608287004
morawa,1,3.2247919564926817
adaboost,1,3.2247919564926817
ketidakseimbangan,1,3.2247919564926817
kelas,22,1.8823692756704753
forecasting,4,2.622731965164719
derita,3,2.747670701773019
demam,2,2.9237619608287004
darah,4,2.622731965164719
dengue,1,3.2247919564926817
sragen,2,2.9237619608287004
surat,4,2.622731965164719
jalan,2,2.9237619608287004
transportasi,1,3.2247919564926817
mobil,8,2.321701969500738
angkut,1,3.2247919564926817
cluestering,1,3.2247919564926817
klastering,1,3.2247919564926817
strata,2,2.9237619608287004
satu,7,2.3796939164784248
minta,4,2.622731965164719
kartu,3,2.747670701773019
perdana,1,3.2247919564926817
internet,61,1.4394621214819143
c5,1,3.2247919564926817
0,1,3.2247919564926817
vidha,1,3.2247919564926817
ponsel,1,3.2247919564926817
html,10,2.2247919564926817
historis,1,3.2247919564926817
teknilogi,1,3.2247919564926817
jenis,12,2.1456107104450566
alumni,3,2.747670701773019
teknologi,135,1.0944581879976754
respati,1,3.2247919564926817
semen,3,2.747670701773019
kosmetik,1,3.2247919564926817
identifikasi,16,2.0206719738367567
melitus,1,3.2247919564926817
argumen,1,3.2247919564926817
tentang,6,2.446640706109038
bijak,2,2.9237619608287004
zonasi,3,2.747670701773019
sekolah,33,1.706278016614794
nusantara,7,2.3796939164784248
temu,11,2.1833992713344563
kembali,11,2.1833992713344563
kumpul,3,2.747670701773019
dokumen,25,1.826851947820644
information,26,1.8098186085218635
retrieval,19,1.9460383555398524
topik,5,2.5258219521566625
ruang,11,2.1833992713344563
baca,2,2.9237619608287004
deskripsi,1,3.2247919564926817
portal,4,2.622731965164719
web,88,1.2803092843425128
scraping,3,2.747670701773019
mesin,7,2.3796939164784248
artikel,2,2.9237619608287004
ilmiah,4,2.622731965164719
monitoring,30,1.747670701773019
isu,1,3.2247919564926817
publik,3,2.747670701773019
rocchio,1,3.2247919564926817
relevance,1,3.2247919564926817
feedback,1,3.2247919564926817
referensi,1,3.2247919564926817
tugas,12,2.1456107104450566
akhir,12,2.1456107104450566
rancang,55,1.4844292669984376
terjemah,1,3.2247919564926817
al,3,2.747670701773019
vektor,2,2.9237619608287004
document,9,2.2705494470533565
management,70,1.3796939164784245
jabar,4,2.622731965164719
telematika,4,2.622731965164719
jatel,4,2.622731965164719
cosine,21,1.9025726617587622
similarity,10,2.2247919564926817
bobot,4,2.622731965164719
tf-idf,8,2.321701969500738
manfaat,25,1.826851947820644
vector,26,1.8098186085218635
space,8,2.321701969500738
nazief,2,2.9237619608287004
adriani,2,2.9237619608287004
fungsi,1,3.2247919564926817
idf,1,3.2247919564926817
widf,1,3.2247919564926817
prototipe,9,2.2705494470533565
stemming,3,2.747670701773019
judul,2,2.9237619608287004
thesis,1,3.2247919564926817
latent,2,2.9237619608287004
semantic,4,2.622731965164719
indexing,2,2.9237619608287004
content,1,3.2247919564926817
based,21,1.9025726617587622
image,11,2.1833992713344563
okapi,2,2.9237619608287004
bm25,2,2.9237619608287004
plsa,1,3.2247919564926817
mirip,2,2.9237619608287004
bahasa,14,2.0786639208144435
generalized,1,3.2247919564926817
ringkas,2,2.9237619608287004
konten,8,2.321701969500738
halaman,2,2.9237619608287004
hybrid,15,2.0487006974370003
hidden,1,3.2247919564926817
markov,1,3.2247919564926817
method,8,2.321701969500738
kamus,3,2.747670701773019
porter,1,3.2247919564926817
kurang,4,2.622731965164719
salah,2,2.9237619608287004
multithreading,1,3.2247919564926817
gvsm,1,3.2247919564926817
kitab,2,2.9237619608287004
undang,1,3.2247919564926817
hukum,1,3.2247919564926817
guru,34,1.6933130394504263
tinggi,20,1.9237619608287002
knearest,1,3.2247919564926817
geographic,2,2.9237619608287004
question,2,2.9237619608287004
answering,2,2.9237619608287004
rule-based,1,3.2247919564926817
agama,2,2.9237619608287004
tengah,16,2.0206719738367567
pertama,5,2.5258219521566625
term,5,2.5258219521566625
frequency,7,2.3796939164784248
inverse,2,2.9237619608287004
e,3,2.747670701773019
laut,1,3.2247919564926817
bengkulu,1,3.2247919564926817
seo,1,3.2247919564926817
sematik,1,3.2247919564926817
anarkis,1,3.2247919564926817
rabin,1,3.2247919564926817
karp,1,3.2247919564926817
layan,45,1.5715794427173377
sehat,12,2.1456107104450566
vsm,2,2.9237619608287004
webgis,1,3.2247919564926817
bangun,77,1.3383012313201996
balik,5,2.5258219521566625
sepak,2,2.9237619608287004
bola,2,2.9237619608287004
kualitas,38,1.6450083598758714
sentimen,6,2.446640706109038
keshahihan,1,3.2247919564926817
buah,11,2.1833992713344563
piano,1,3.2247919564926817
composer,1,3.2247919564926817
java,3,2.747670701773019
applet,1,3.2247919564926817
ayat,1,3.2247919564926817
al-quran,1,3.2247919564926817
perhati,1,3.2247919564926817
majemuk,1,3.2247919564926817
prinsip,2,2.9237619608287004
pareto,1,3.2247919564926817
bantu,11,2.1833992713344563
hafal,1,3.2247919564926817
juz,1,3.2247919564926817
sentiment,2,2.9237619608287004
twitter,4,2.622731965164719
sampel,1,3.2247919564926817
dashboard,3,2.747670701773019
key,3,2.747670701773019
performance,1,3.2247919564926817
indicator,1,3.2247919564926817
firebase,3,2.747670701773019
realtime,4,2.622731965164719
prototype,8,2.321701969500738
mesan,5,2.5258219521566625
makan,9,2.2705494470533565
komparatif,1,3.2247919564926817
pendek,5,2.5258219521566625
paice,1,3.2247919564926817
atau,1,3.2247919564926817
husk,1,3.2247919564926817
inggris,2,2.9237619608287004
hierarchical,2,2.9237619608287004
agglomerative,1,3.2247919564926817
linkagedalam,1,3.2247919564926817
models,1,3.2247919564926817
uji,17,1.9943430351144076
webscraping,1,3.2247919564926817
lowong,1,3.2247919564926817
levenshtein,3,2.747670701773019
distance,7,2.3796939164784248
search,9,2.2705494470533565
implementation,6,2.446640706109038
ajar,140,1.0786639208144435
intelligent,2,2.9237619608287004
bebas,2,2.9237619608287004
kriptografi,27,1.793428192333694
suatu,1,3.2247919564926817
karya,4,2.622731965164719
certainty,10,2.2247919564926817
factor,10,2.2247919564926817
pakar,49,1.5345958764641678
osteoporosis,1,3.2247919564926817
osteoarthritis,1,3.2247919564926817
forward,15,2.0487006974370003
chaining,16,2.0206719738367567
diagnosa,20,1.9237619608287002
hama,4,2.622731965164719
anggrek,1,3.2247919564926817
coelogyne,1,3.2247919564926817
pandurata,1,3.2247919564926817
upaya,8,2.321701969500738
meminimalisir,2,2.9237619608287004
tular,2,2.9237619608287004
kucing,4,2.622731965164719
autis,1,3.2247919564926817
tsukamoto,3,2.747670701773019
mendiagnosa,9,2.2705494470533565
autisme,1,3.2247919564926817
tht,3,2.747670701773019
teorema,5,2.5258219521566625
lambung,3,2.747670701773019
bakat,2,2.9237619608287004
sd,10,2.2247919564926817
tanam,20,1.9237619608287002
kelapa,1,3.2247919564926817
backward,3,2.747670701773019
jagung,2,2.9237619608287004
diagnosis,5,2.5258219521566625
jeruk,3,2.747670701773019
limau,1,3.2247919564926817
pendiagnosaan,1,3.2247919564926817
dermatitis,1,3.2247919564926817
imun,1,3.2247919564926817
kaki,1,3.2247919564926817
gajah,1,3.2247919564926817
failure,1,3.2247919564926817
mode,3,2.747670701773019
and,19,1.9460383555398524
effect,1,3.2247919564926817
fmea,1,3.2247919564926817
expert,1,3.2247919564926817
hamil,3,2.747670701773019
dempster-shafer,1,3.2247919564926817
padi,3,2.747670701773019
cabai,3,2.747670701773019
gizi,1,3.2247919564926817
buruk,1,3.2247919564926817
balita,1,3.2247919564926817
mamdani,6,2.446640706109038
cerna,5,2.5258219521566625
cara,11,2.1833992713344563
herbal,4,2.622731965164719
dini,5,2.5258219521566625
pendiagnosa,1,3.2247919564926817
rusa,2,2.9237619608287004
televisi,1,3.2247919564926817
warna,16,2.0206719738367567
salur,3,2.747670701773019
ayam,5,2.5258219521566625
broiler,1,3.2247919564926817
bunga,2,2.9237619608287004
kamboja,1,3.2247919564926817
adenium,1,3.2247919564926817
atur,4,2.622731965164719
freeman,1,3.2247919564926817
chain,1,3.2247919564926817
code,11,2.1833992713344563
isi,4,2.622731965164719
botol,1,3.2247919564926817
inference,5,2.5258219521566625
takagi-sugeno-kang,1,3.2247919564926817
gigi,3,2.747670701773019
ancang,72,1.367459460061413
gaya,2,2.9237619608287004
usia,8,2.321701969500738
remaja,1,3.2247919564926817
degeneratif,1,3.2247919564926817
lansia,1,3.2247919564926817
case,3,2.747670701773019
reasoning,2,2.9237619608287004
cbr,1,3.2247919564926817
otitis,1,3.2247919564926817
supuratif,1,3.2247919564926817
kronis,1,3.2247919564926817
omsk,1,3.2247919564926817
orang,5,2.5258219521566625
dewasa,1,3.2247919564926817
dempster,3,2.747670701773019
shafer,3,2.747670701773019
bell,1,3.2247919564926817
palsy,1,3.2247919564926817
kulit,6,2.446640706109038
akibat,1,3.2247919564926817
bakteri,1,3.2247919564926817
salmonella,1,3.2247919564926817
semangka,1,3.2247919564926817
manusia,9,2.2705494470533565
depth,1,3.2247919564926817
first,3,2.747670701773019
kakao,1,3.2247919564926817
kenal,79,1.32716486520224
jahit,2,2.9237619608287004
tangan,13,2.1108486041858447
jahe,1,3.2247919564926817
kota,53,1.5005160868918925
ispa,2,2.9237619608287004
infeksi,2,2.9237619608287004
napas,3,2.747670701773019
akut,2,2.9237619608287004
id3,3,2.747670701773019
orange,1,3.2247919564926817
mangga,1,3.2247919564926817
optimasi,6,2.446640706109038
parameter,1,3.2247919564926817
support,11,2.1833992713344563
pasar,5,2.5258219521566625
langsung,2,2.9237619608287004
warehouse,5,2.5258219521566625
smk,31,1.7334302626584088
kendali,10,2.2247919564926817
karyawan,10,2.2247919564926817
jaring,110,1.1833992713344563
syaraf,15,2.0487006974370003
tiru,26,1.8098186085218635
association,3,2.747670701773019
rules,2,2.9237619608287004
word2vec,2,2.9237619608287004
otomasi,2,2.9237619608287004
frasa,2,2.9237619608287004
jamin,3,2.747670701773019
daerah,13,2.1108486041858447
jamkesda,2,2.9237619608287004
c-means,4,2.622731965164719
cv,9,2.2705494470533565
mataram,4,2.622731965164719
jaya,7,2.3796939164784248
bawen,2,2.9237619608287004
tid,2,2.9237619608287004
mobile,28,1.7776339251504623
sidoarjo,3,2.747670701773019
on,8,2.321701969500738
hands,2,2.9237619608287004
soh,2,2.9237619608287004
aman,113,1.1717135130092617
virtual,40,1.6227319651647192
private,11,2.1833992713344563
vps,1,3.2247919564926817
thalassaemia,1,3.2247919564926817
apotek,3,2.747670701773019
karang,1,3.2247919564926817
asih,1,3.2247919564926817
subur,2,2.9237619608287004
pria,1,3.2247919564926817
spk,1,3.2247919564926817
donor,1,3.2247919564926817
tahan,3,2.747670701773019
j48,2,2.9237619608287004
tiroid,2,2.9237619608287004
teori,5,2.5258219521566625
bagi,22,1.8823692756704753
tahun,11,2.1833992713344563
awal,3,2.747670701773019
jenjang,1,3.2247919564926817
produksi,8,2.321701969500738
provinsi,10,2.2247919564926817
istimewa,2,2.9237619608287004
marketing,4,2.622731965164719
rule,2,2.9237619608287004
bahan,5,2.5258219521566625
kimia,1,3.2247919564926817
gresik,2,2.9237619608287004
cipta,9,2.2705494470533565
besar,5,2.5258219521566625
listrik,3,2.747670701773019
tangga,4,2.622731965164719
keyword,1,3.2247919564926817
ms,1,3.2247919564926817
e-marketplace,3,2.747670701773019
improved,2,2.9237619608287004
tabu,2,2.9237619608287004
ts,2,2.9237619608287004
tracer,2,2.9237619608287004
muslim,1,3.2247919564926817
on-line,1,3.2247919564926817
analitycal,2,2.9237619608287004
processing,1,3.2247919564926817
boundary,1,3.2247919564926817
black,1,3.2247919564926817
box,2,2.9237619608287004
testing,4,2.622731965164719
tampil,1,3.2247919564926817
s1,2,2.9237619608287004
kuat,1,3.2247919564926817
beton,1,3.2247919564926817
regression,1,3.2247919564926817
antara,4,2.622731965164719
saring,1,3.2247919564926817
masuk,3,2.747670701773019
usm,1,3.2247919564926817
indeks,9,2.2705494470533565
ip,3,2.747670701773019
barbar,1,3.2247919564926817
asisten,2,2.9237619608287004
laboratorium,13,2.1108486041858447
nbc,2,2.9237619608287004
svm,1,3.2247919564926817
komparasi,6,2.446640706109038
classification,1,3.2247919564926817
e-government,7,2.3796939164784248
daring,3,2.747670701773019
masa,2,2.9237619608287004
pandemi,2,2.9237619608287004
covid-19,3,2.747670701773019
kena,3,2.747670701773019
pasca,1,3.2247919564926817
fitur,18,1.9695194513893755
n-gram,4,2.622731965164719
komentar,2,2.9237619608287004
review,2,2.9237619608287004
vs,1,3.2247919564926817
blackberry,2,2.9237619608287004
genetic,1,3.2247919564926817
algorithm,6,2.446640706109038
weighted,7,2.3796939164784248
sum,1,3.2247919564926817
wsm,1,3.2247919564926817
serta,8,2.321701969500738
masyarakat,5,2.5258219521566625
